Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
219;Apartamento;Olaria;2;0;0;90;1000.0;150.0;0.0;11.11;Apartamento
220;Apartamento;Humaitá;1;0;0;57;3990.0;860.0;100.0;70.0;Apartamento
221;Apartamento;Maracanã;3;1;0;95;2500.0;600.0;80.0;26.32;Apartamento
222;Casa de Vila;Jardim Sulacap;2;1;2;115;1600.0;1.0;60.0;13.91;Casa
223;Apartamento;Leblon;4;2;2;200;11000.0;2900.0;580.0;55.0;Apartamento
224;Apartamento;Barra da Tijuca;2;1;1;63;1900.0;824.0;0.0;30.16;Apartamento
225;Apartamento;Gávea;2;1;1;100;3900.0;1300.0;320.0;39.0;Apartamento
226;Apartamento;Ipanema;3;2;1;165;7500.0;2200.0;532.0;45.45;Apartamento
227;Apartamento;Ipanema;3;2;2;160;6000.0;3500.0;4600.0;37.5;Apartamento
228;Apartamento;Flamengo;1;1;0;48;2100.0;580.0;70.0;43.75;Apartamento
229;Apartamento;Leblon;2;1;1;87;4800.0;1300.0;361.0;55.17;Apartamento
230;Casa de Vila;Oswaldo Cruz;1;0;1;40;800.0;0.0;0.0;20.0;Casa
231;Apartamento;Barra da Tijuca;3;1;1;105;2500.0;1400.0;1500.0;23.81;Apartamento
232;Casa de Condomínio;Freguesia (Jacarepaguá);2;1;0;163;1800.0;92.0;46.0;11.04;Casa
233;Quitinete;Copacabana;1;0;0;30;1300.0;370.0;30.0;43.33;Apartamento
234;Apartamento;Barra da Tijuca;3;1;1;80;3500.0;1410.0;270.0;43.75;Apartamento
235;Apartamento;Botafogo;3;1;1;102;5100.0;1300.0;0.0;50.0;Apartamento
236;Apartamento;Gávea;3;0;1;120;2700.0;880.0;238.0;22.5;Apartamento
237;Apartamento;Humaitá;2;2;1;112;4500.0;1300.0;0.0;40.18;Apartamento
238;Apartamento;Vila da Penha;2;0;0;60;900.0;160.0;25.0;15.0;Apartamento
239;Apartamento;Lagoa;1;1;0;75;2800.0;800.0;210.0;37.33;Apartamento
240;Apartamento;Ipanema;3;1;1;125;7000.0;2100.0;463.0;56.0;Apartamento
241;Apartamento;Engenho Novo;2;0;0;53;1400.0;460.0;12.0;26.42;Apartamento
242;Apartamento;Recreio dos Bandeirantes;3;3;1;132;2800.0;879.0;0.0;21.21;Apartamento
243;Apartamento;Barra da Tijuca;2;2;1;86;3500.0;1307.0;0.0;40.7;Apartamento
